rank_setor,codigo_base,nome,valor_total,quantidade_total
34,101243883,CONTACT ESTAMPADO MT,49.36,4
34,923523613,JURASSIC MINI REX,65.98,2
34,2396001,LIXEIRA PEDAL 20LT,42.99,1
34,908629695,FERVEDOR 16  POLIDO,65.97,3
34,935697488,ENF. DE MAD.TREM NATAL,134.26,4
34,921454211,NECESSAIRE GEO LF92-093,61.730000000000004,2
34,920123802,MINI PANETTO BAUDUCCO,310.79,41
34,907256449,CANECA 220ML,64.87,13
35,2396001,LIXEIRA PEDAL 20LT,161.46,4
35,916169001,BRACELETE PRT. DOU,132.92999999999998,7
35,2339377,CARRINHO KOMBI C.REMOTO,59.99,1
35,916867806,CHAVEIRO STITCH CAPUZ,144.97,3
35,908629695,FERVEDOR 16  POLIDO,65.97,3
35,960850733,BOLSA DE MÃO,39.95,5
35,907206274,ELASTICO DE CABELO,58.81,14
35,907256449,CANECA 220ML,64.87,13
35,2098671,DELINEADOR CANET VIVAI,44.95,5
35,916069490,LIP GLO BOBBI RARA,103.27,8
35,941389843,T RETRATIL - VALDIR,74.2,5
35,927396084,ESPONJA MAQUIAGEM,280.08,72
36,907218986,SUPER CARROS SPIDERA,37.99,1
36,23623117,OCULOS,131.94,6
36,934840849,CANECA 120ML,59.940000000000005,6
36,926828917,MOCHILA STICH / ANGEL,57.99,1
36,907218983,SUPER CARRO TURBO,37.99,1
36,924580058,CESTO C/TAMPA 56L PRATA,63.98,2
36,927638014,CILIOS TUFINHO NEW SH,279.36,24
36,917049068,LIP GLOSS L5572,160.67,14
36,909222943,POTE COM TAMPA,71.98,2
36,916069507,ILUMINADOR 6G SARAH'S BEAUTY,102.62,8
36,916867815,CHAVEIRO STITCH,141.54,6
36,957125433,RELOGIO DE PONTEIRO,59.98,2
36,920458376,TRIO GARRAFA BALÃO G,59.98,1
36,941389685,ALMOFADA DE PESCOÇO,71.98,2
36,908354409,FITA BOPP 45MMX40M,44.13,7
37,935697491,FESTAO VERDE,35.96,4
37,914459738,LIP GLOSS SHINY,63.96,4
37,920241457,KIT ESPJ DE MAQUIAGEM 8PCS,42.27,8
37,922933178,CANETINHA TOUCH 7UN,129.87,13
